"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","7","7","1","4.612551","0","7"
"/Pedestrian_System/Demo_Content/PlayerCharacter/Animations/Mannequin/Character/Materials/M_Body.M_Body","49","11","11","1","6.138068","0","11"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","7","7","1","4.853902","0","7"
"/HDRIBackdrop/Materials/HDRI_Projection_Sky.HDRI_Projection_Sky","49","14","14","2","9.481248","0","14"
"/HDRIBackdrop/Materials/HDRI_Projection_Floor.HDRI_Projection_Floor","49","16","16","2","3.417305","0","16"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_BaseColorPalette1.M_BaseColorPalette1","49","28","31","1","18.296091","0","31"
"/Game/BPs/TVMats/M_TV1.M_TV1","49","17","17","1","0.000000","0","17"
"/Game/BPs/TVMats/M_TV6.M_TV6","49","17","17","1","0.000000","0","17"
"/Game/BPs/TVMats/M_TV5.M_TV5","49","17","17","1","7.280184","0","17"
"/Game/BPs/TVMats/M_TV4.M_TV4","49","17","17","1","0.000000","0","17"
"/Game/BPs/TVMats/M_TV3.M_TV3","49","17","17","1","0.000000","0","17"
"/Game/BPs/TVMats/M_TV2.M_TV2","49","17","17","1","0.000000","0","17"
"/Game/BPs/TVMats/M_TV7.M_TV7","49","17","17","1","8.342440","0","17"
"/Game/TokyoStylizedEnvironment/Materials/Master_Materials/M_BasicMat.M_BasicMat","49","8","8","1","1.706611","0","8"
"/Game/TokyoStylizedEnvironment/Materials/Trim_Window01/M_Window01.M_Window01","49","8","8","1","0.000000","0","8"
"/Game/TokyoStylizedEnvironment/Materials/Trim_Window01/M_Window04.M_Window04","49","8","8","1","0.000000","0","8"
"/Game/TokyoStylizedEnvironment/Materials/Foliage_Tree_Sakura/M_Sakura_Ground_Decal.M_Sakura_Ground_Decal","49","13","13","1","4.179399","0","13"
"/Game/TokyoStylizedEnvironment/Materials/Tile_Glass/M_Glass_Opaque.M_Glass_Opaque","49","8","8","1","1.525293","0","8"
"/Game/BPs/TrafficLightMats/ML_TrafficLight_Lit_Amber.ML_TrafficLight_Lit_Amber","49","8","8","1","3.723983","0","8"
"/Game/BPs/TrafficLightMats/ML_TrafficLight_Lit_Red.ML_TrafficLight_Lit_Red","49","8","8","1","0.000000","0","8"
"/Game/BPs/TrafficLightMats/ML_TrafficLight_Lit_Green.ML_TrafficLight_Lit_Green","49","8","8","1","0.000000","0","8"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_AlphaTest.M_AlphaTest","49","21","23","1","8.701061","0","23"
"/Game/TokyoStylizedEnvironment/Materials/Trim_Decal01/M_Decal01.M_Decal01","49","13","13","1","6.341737","0","13"
"/Game/DreamscapeSeries/SharedResources/Materials/Effects/M_Firefly.M_Firefly","49","80","90","1","42.265800","0","90"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Smoke_Ground_C.M_Smoke_Ground_C","49","23","23","1","17.462034","0","23"
"/Game/TokyoStylizedEnvironment/Materials/Tile_TreeTrunk/M_TreeTrunk.M_TreeTrunk","49","8","8","1","0.000000","0","8"
"/Game/TokyoStylizedEnvironment/Materials/Trim_Street_Trash/M_StreetTrash.M_StreetTrash","49","11","12","1","3.101627","0","12"
"/Game/TokyoStylizedEnvironment/Materials/Foliage_Tree01/M_Leaves01.M_Leaves01","49","42","46","1","0.000000","0","46"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","18","18","1","20.280371","0","18"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","49","15","15","1","8.234240","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","49","27","29","1","19.423176","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","49","27","29","1","20.750479","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","49","15","15","1","9.332409","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","49","15","15","1","8.877988","0","15"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","67","67","1","34.575695","0","67"
"/Game/TokyoStylizedEnvironment/Materials/Trim_Awning/M_Awning.M_Awning","49","8","8","1","1.550962","0","8"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_BaseColorPalette.M_BaseColorPalette","49","28","31","1","17.459282","0","31"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","42","46","1","47.962292","0","46"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","42","46","1","47.425148","0","46"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","202","212","6","323.147888","0","212"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","49","16","16","2","7.280816","0","16"
"/Game/Asian_Village/materials/trees_materials/M_bark.M_bark","49","58","61","1","44.533787","0","61"
"/Game/TokyoStylizedEnvironment/Materials/Trim_Decal01/M_DecalMasked.M_DecalMasked","49","21","23","1","6.292765","0","23"
"/Game/Asian_Village/materials/building_materials/M_building_wood.M_building_wood","49","14","14","1","7.915260","0","14"
"/Game/TokyoStylizedEnvironment/Materials/Master_Materials/M_TilingMat.M_TilingMat","49","8","8","1","1.542501","0","8"
"/Game/TokyoStylizedEnvironment/Textures/WorldAligned/WorldAlignedTextureDirt.WorldAlignedTextureDirt","49","8","8","1","1.473858","0","8"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","156","166","6","131.882660","0","166"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","54","54","2","128.870560","0","54"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","156","166","6","138.858032","0","166"
